ID,prefLabel,WikiData_URI,Start_Date,End_Date,Type,Suggested_dating,has_Broader,ARS_Group_ID,ARS_Group_2_ID,ARS_Import_Horizon_ID,ARS_Import_Horizon_2_ID
hayes-form-80b-99,Hayes form 80b/99,,450,500,Shallow bowl,,hayes-form-80,ARSD,,ARS_600,
hayes-form-81,Hayes form 81,,400,500,Bowl,second half of fifth century,,ARSD,,,
hayes-form-81a,Hayes form 81a,,400,500,Bowl,second half of fifth century,hayes-form-81,ARSD,,,
hayes-form-81b,Hayes form 81b,,400,500,Bowl,second half of fifth century,hayes-form-81,,,,
hayes-form-82,Hayes form 82,Q109547602,430,500,Large plate,,,ARSD,,ARS_450,
hayes-form-82a,Hayes form 82a,,430,475,Large plate,c. 430-475,hayes-form-82,,,,
hayes-form-82b,Hayes form 82b,,460,500,Large plate,c. 460-500+,hayes-form-82,,,,
hayes-form-83,Hayes form 83,,420,460,Large dish,c. 420-460,,ARSC,,,
hayes-form-84,Hayes form 84,,440,500,Deep dish,c.440-500,,ARSD,,ARS_450,
hayes-form-85,Hayes form 85,,450,500,Small bowl,,,,,,
hayes-form-85a,Hayes form 85a,,450,450,Small bowl,mid fifth century,hayes-form-85,,,,
hayes-form-85b,Hayes form 85b,,450,500,Small bowl,second half of fifth century,hayes-form-85,ARSC,,,
hayes-form-86,Hayes form 86,,475,525,Dish,late fifth to early sixth century,,ARSD,,,
hayes-form-87,Hayes form 87,,450,550,Dish,,,ARSD,,ARS_525,
hayes-form-87a,Hayes form 87a,,450,500,Dish,second half of fifth century,hayes-form-87,ARSD,,ARS_525,
hayes-form-87b,Hayes form 87b,,475,530,Dish,early sixth century,hayes-form-87,ARSD,,ARS_525,
hayes-form-87c,Hayes form 87c,,480,550,Dish,early sixth century,hayes-form-87,ARSD,,ARS_525,
hayes-form-88,Hayes form 88,,500,550,Large dish,early sixth century,,ARSD,,,
hayes-form-89,Hayes form 89,,450,520,Large plate,,,ARSD,,,
hayes-form-89a,Hayes form 89a,,,,Large plate,early fifth century,hayes-form-89,,,,
hayes-form-89b,Hayes form 89b,,,,Large plate,probably mid fifth to early sixth century,hayes-form-89,ARSD,,,
hayes-form-90,Hayes form 90,,550,620,Large dish,,,ARSC,,,
hayes-form-90a,Hayes form 90a,,,,Large dish,late fifth to early sixth century,hayes-form-90,,,,
hayes-form-90b,Hayes form 90b,,500,550,Large dish,"mainly second half of sixth century, and possibly later",hayes-form-90,ARSC,,ARS_525,ARS_600
hayes-form-91,Hayes form 91,,350,450,Flanged bowl,,,ARSD,,,
hayes-form-91a,Hayes form 91a,,370,500,Flanged bowl,mid-late fifth century,hayes-form-91,,,,
hayes-form-91a-b,Hayes form 91a/b,,370,500,Flanged bowl,,hayes-form-91,ARSD,,,
hayes-form-91b,Hayes form 91b,,370,500,Flanged bowl,c. 450-530,hayes-form-91,ARSD,,,
hayes-form-91b-c,Hayes form 91b/c,,500,530,Flanged bowl,early sixth century,hayes-form-91,,,,
hayes-form-91c,Hayes form 91c,,500,600,Flanged bowl,c.530-600+,hayes-form-91,ARSD,,ARS_525,
hayes-form-91d,Hayes form 91d,,580,675,Flanged bowl,c.600-650,hayes-form-91,ARSD,,ARS_600,
hayes-form-92,Hayes form 92,,400,540,Flanged bowl,"about mid fifth century, or earlier",,ARSD,,,
hayes-form-93,Hayes form 93,,470,540,Large bowl,c. 470-540,,,,,
hayes-form-93a,Hayes form 93a,,470,500,Large bowl,c. 470-540 (mostly fifth century),hayes-form-93,ARSD,,,
hayes-form-93b,Hayes form 93b,,500,540,Large bowl,c. 500-540,hayes-form-93,ARSD,,ARS_525,
hayes-form-94,Hayes form 94,,400,550,Bowl,late fifth to early sixth century,,ARSD,,,
hayes-form-94a,Hayes form 94a,,,,Bowl,late fifth to early sixth century,hayes-form-94,ARSD,,,
hayes-form-94b,Hayes form 94b,,,,Bowl,late fifth to early sixth century,hayes-form-94,ARSD,,ARS_525,
hayes-form-95,Hayes form 95,,,,Bowl,first half of sixth century,,ARSD,,,
hayes-form-96,Hayes form 96,,500,550,Bowl,c. 490-540,,ARSD,,ARS_525,
hayes-form-97,Hayes form 97,,475,600,Bowl,c. 480-550,,ARSD,,ARS_525,
hayes-form-98,Hayes form 98,,500,580,Shallow bowl,early sixth century,,,,,
hayes-form-98a,Hayes form 98a,,,,Shallow bowl,early sixth century,,,,,
hayes-form-98b,Hayes form 98b,,,,Shallow bowl,early sixth century,,,,,
hayes-form-99,Hayes form 99,,500,580,Bowl,,,ARSD,,,
hayes-form-99a,Hayes form 99a,,500,540,Bowl,c. 510-540,hayes-form-99,ARSD,,ARS_525,
hayes-form-99b,Hayes form 99b,,530,580,Bowl,c. 530-580,hayes-form-99,ARSD,,ARS_600,
hayes-form-99c,Hayes form 99c,,560,620,Bowl,c. 560/580-620,hayes-form-99,ARSD,,ARS_600,
hayes-form-100,Hayes form 100,,580,620,Bowl,late sixth to early seventh century,,ARSD,,,
hayes-form-101,Hayes form 101,,550,600,Footed dish,mid-late sixth century,,ARSD,,,
hayes-form-102,Hayes form 102,,475,625,Small bowl ,late sixth to early seventh century,,ARSD,,,
hayes-form-103,Hayes form 103,,500,575,Large dish|bowl,c. 500 to third quarter sixth century,,ARSD,,,
hayes-form-103a,Hayes form 103a,,500,575,Large dish|bowl,,hayes-form-103,ARSD,,,
hayes-form-103b,Hayes form 103b,,500,575,Large dish|bowl,,hayes-form-103,ARSD,,,
